what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1390448003668
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1390448003669
started,bundle,oracle.eclipse.tools.glassfish,3.2.3.201106201340,"oracle.eclipse.tools.glassfish",1390448003709
os,sysinfo,,,"win32",1390448003716
arch,sysinfo,,,"x86_64",1390448003716
ws,sysinfo,,,"win32",1390448003716
locale,sysinfo,,,"en_US",1390448003716
processors,sysinfo,,,"4",1390448003716
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1390448003716
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1390448003716
java.specification.name,sysinfo,,,"Java Platform API Specification",1390448003716
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1390448003716
java.specification.version,sysinfo,,,"1.6",1390448003716
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1390448003716
java.version,sysinfo,,,"1.6.0_29",1390448003716
java.vm.info,sysinfo,,,"mixed mode",1390448003716
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1390448003716
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1390448003716
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1390448003716
java.vm.specification.version,sysinfo,,,"1.0",1390448003716
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1390448003716
java.vm.version,sysinfo,,,"20.4-b02",1390448003716
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1390448003766
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1390448004019
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1390448004078
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1390448004079
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1390448004133
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1390448004133
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1390448004134
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1390448004295
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1390448004450
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1390448004646
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1390448004858
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1390448005930
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1390448006506
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1390448006743
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1390448007376
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1390448007817
